unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1639526400,2021-12-15 00:00:00,XRP/USD,0.80966,0.84027,0.77723,0.82820,29935774.11172373,24792808.119329594
1639440000,2021-12-14 00:00:00,XRP/USD,0.78247,0.82225,0.77223,0.81159,35755805.18587918,29019053.930807684
1639353600,2021-12-13 00:00:00,XRP/USD,0.83947,0.84462,0.76123,0.78130,32362517.55215248,25284834.963496733
1639267200,2021-12-12 00:00:00,XRP/USD,0.84025,0.85723,0.80951,0.84035,12902410.28797562,10842540.485500313
1639180800,2021-12-11 00:00:00,XRP/USD,0.80010,0.84594,0.78445,0.83816,18588431.01552519,15580079.339972593
1639094400,2021-12-10 00:00:00,XRP/USD,0.85926,0.88299,0.79260,0.79905,34596814.27959773,27644584.450112566
1639008000,2021-12-09 00:00:00,XRP/USD,0.86516,0.93523,0.83201,0.85834,57518498.56431396,49370428.05769324
1638921600,2021-12-08 00:00:00,XRP/USD,0.81712,0.88506,0.80423,0.86309,29261532.09840424,25255335.738811716
1638835200,2021-12-07 00:00:00,XRP/USD,0.82923,0.84623,0.80500,0.81609,29097235.52611096,23745962.94050389
1638748800,2021-12-06 00:00:00,XRP/USD,0.80581,0.83138,0.74865,0.82866,50058613.74249123,41481570.863852784
1638662400,2021-12-05 00:00:00,XRP/USD,0.84699,0.86421,0.77108,0.80581,42444845.75961236,34202481.161553234
1638576000,2021-12-04 00:00:00,XRP/USD,0.92163,0.92498,0.65200,0.84778,96156447.83902794,81519513.3489711
1638489600,2021-12-03 00:00:00,XRP/USD,0.97218,0.98471,0.89197,0.92216,35354805.84693620,32602787.75981069
1638403200,2021-12-02 00:00:00,XRP/USD,0.99005,0.99014,0.95590,0.97294,25236513.03528614,24553612.992551297
1638316800,2021-12-01 00:00:00,XRP/USD,0.99888,1.01824,0.98045,0.99029,28169931.48296470,27896401.448265113
1638230400,2021-11-30 00:00:00,XRP/USD,0.99099,1.03105,0.97114,0.99937,29054097.13555559,29035793.054360192
1638144000,2021-11-29 00:00:00,XRP/USD,0.97020,1.00305,0.96397,0.99115,35516970.19181794,35202645.00562035
1638057600,2021-11-28 00:00:00,XRP/USD,0.94459,0.96970,0.88567,0.96928,32572681.97763683,31572049.187283825
1637971200,2021-11-27 00:00:00,XRP/USD,0.94023,0.96611,0.93400,0.94588,16455383.29349533,15564817.949651362
1637884800,2021-11-26 00:00:00,XRP/USD,1.04434,1.04695,0.91024,0.94076,62662634.36550097,58950499.905688696
1637798400,2021-11-25 00:00:00,XRP/USD,1.03324,1.06506,1.02238,1.04419,29354824.12141162,30652013.7993368
1637712000,2021-11-24 00:00:00,XRP/USD,1.06726,1.07352,1.00661,1.03382,32670530.46584040,33775447.80619512
1637625600,2021-11-23 00:00:00,XRP/USD,1.03643,1.07374,1.02025,1.06718,29150677.42098099,31109019.930122495
1637539200,2021-11-22 00:00:00,XRP/USD,1.05996,1.07304,1.02675,1.03713,31932973.31817263,33118644.61747638
1637452800,2021-11-21 00:00:00,XRP/USD,1.09739,1.09844,1.05674,1.06179,11624524.90963583,12342804.30380223
1637366400,2021-11-20 00:00:00,XRP/USD,1.09288,1.10252,1.06200,1.09689,13825364.70314075,15164904.289228057
1637280000,2021-11-19 00:00:00,XRP/USD,1.04149,1.10521,1.01847,1.09019,51655441.12015676,56314245.35478369
1637193600,2021-11-18 00:00:00,XRP/USD,1.09594,1.16131,1.01569,1.04053,43667427.02868095,45437267.846153386
1637107200,2021-11-17 00:00:00,XRP/USD,1.08957,1.11305,1.05901,1.09606,27302018.74059316,29924650.660814542
1637020800,2021-11-16 00:00:00,XRP/USD,1.17227,1.17227,1.04092,1.08897,67375265.94781971,73369643.35919723
1636934400,2021-11-15 00:00:00,XRP/USD,1.18883,1.22098,1.16524,1.17169,18706082.73306485,21917730.07750475
1636848000,2021-11-14 00:00:00,XRP/USD,1.18920,1.19919,1.16850,1.18843,23389535.92822836,27796826.18318443
