unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1514160000,12/25/2017 0:00,BTC/USD,14157.87,14650,13210,13911.28,161347357.1,11564.54
1514073600,12/24/2017 0:00,BTC/USD,14619,14619.1,12488,14157.87,250476423.6,18519.49
1513987200,12/23/2017 0:00,BTC/USD,14009.79,15756.22,13496.48,14619,322120599.6,21786.41
1513900800,12/22/2017 0:00,BTC/USD,15600.01,15795.61,11159.93,14009.79,772329454.8,57444.16
1513814400,12/21/2017 0:00,BTC/USD,16466.98,17281.17,15005,15600.01,326730689.7,20377.86
1513728000,12/20/2017 0:00,BTC/USD,17700,17950,15343.04,16466.98,521350550.6,31172.23
1513641600,12/19/2017 0:00,BTC/USD,18940.57,19160.79,16831.26,17700,387206242.4,21528.14
1513555200,12/18/2017 0:00,BTC/USD,18953,19220,17835.2,18940.57,273533539.4,14678.94
1513468800,12/17/2017 0:00,BTC/USD,19187.78,19666,18465,18953,186310530.8,9749.25
1513382400,12/16/2017 0:00,BTC/USD,17471.5,19377,17269.99,19187.78,179906034.6,9761.22
1513296000,12/15/2017 0:00,BTC/USD,16404.99,17934,16337.19,17471.5,329337014.8,18998.39
1513209600,12/14/2017 0:00,BTC/USD,16250,16830.45,15852.69,16404.99,219263192.5,13409.52
1513123200,12/13/2017 0:00,BTC/USD,16650.01,17107.03,15497.69,16250,281640493.8,17136.71
1513036800,12/12/2017 0:00,BTC/USD,16470,17428.42,15967.29,16650.01,210743301.6,12511.23
1512950400,12/11/2017 0:00,BTC/USD,14691,17270,14677.19,16470,270203844.3,16583.72
1512864000,12/10/2017 0:00,BTC/USD,14607.49,15385,13011,14691,263150668,18487.98
1512777600,12/9/2017 0:00,BTC/USD,15800,15998.5,12701.05,14607.49,227938370.1,15763.56
1512691200,12/8/2017 0:00,BTC/USD,16599.99,16666.66,13482.42,15800,389366035.1,25473.4
1512604800,12/7/2017 0:00,BTC/USD,13623.5,16615.62,13085.9,16599.99,362107737.1,24423.39
1512518400,12/6/2017 0:00,BTC/USD,11677,13700,11659.8,13623.5,250560790.3,19784.87
1512432000,12/5/2017 0:00,BTC/USD,11613.07,11850,11384.25,11677,127101844.1,10910.99
1512345600,12/4/2017 0:00,BTC/USD,11250,11613.07,10850,11613.07,154122917.9,13621.48
1512259200,12/3/2017 0:00,BTC/USD,10872,11800.01,10513.16,11250,160176290.4,14238.53
1512172800,12/2/2017 0:00,BTC/USD,10840.45,11200,10637.69,10872,101270084.4,9267.16
1512086400,12/1/2017 0:00,BTC/USD,9947.67,10949.89,9370.11,10840.45,171881760.6,16708.03
1512000000,11/30/2017 0:00,BTC/USD,9824.68,10618.29,9000,9947.67,247093850.8,25433.46
1511913600,11/29/2017 0:00,BTC/USD,9868.82,11395,9289,9824.68,307124764.7,29509.5
1511827200,11/28/2017 0:00,BTC/USD,9708.07,9968,9582.25,9868.82,110496755.9,11214.93
1511740800,11/27/2017 0:00,BTC/USD,9271.06,9721.7,9267,9708.07,126458117.7,13272.45
1511654400,11/26/2017 0:00,BTC/USD,8717.99,9366.6,8538.2,9271.06,108525815.5,12021.22
1511568000,11/25/2017 0:00,BTC/USD,8199.19,8737,8114.78,8717.99,97628924.79,11611.67
1511481600,11/24/2017 0:00,BTC/USD,7989,8340,7876,8199.19,75751868.75,9289.99
1511395200,11/23/2017 0:00,BTC/USD,8214.69,8279.76,7980,7989,63644740.39,7811.79
1511308800,11/22/2017 0:00,BTC/USD,8095.23,8310.89,8045.76,8214.69,66215711.71,8078.58
1511222400,11/21/2017 0:00,BTC/USD,8226.17,8354.46,7770,8095.23,110809826.4,13686.34
1511136000,11/20/2017 0:00,BTC/USD,8016.58,8269.99,7900,8226.17,66366007.81,8179.46
1511049600,11/19/2017 0:00,BTC/USD,7771.03,8087.35,7675,8016.58,65332064.65,8307.78
1510963200,11/18/2017 0:00,BTC/USD,7674.99,7858,7431.54,7771.03,56264967.21,7326.81
1510876800,11/17/2017 0:00,BTC/USD,7846.96,7997,7528.5,7674.99,138124189.4,17714.37
1510790400,11/16/2017 0:00,BTC/USD,7294,7976.79,7120.85,7846.96,145738327.5,19272.37
1510704000,11/15/2017 0:00,BTC/USD,6609,7350,6609,7294,119171192.4,16869.9
1510617600,11/14/2017 0:00,BTC/USD,6525.17,6750,6466.88,6609,79508390.54,12072.05
1510531200,11/13/2017 0:00,BTC/USD,5870.37,6775.75,5846,6525.17,173725919.5,27163.67
1510444800,11/12/2017 0:00,BTC/USD,6355.13,6488.88,5555.55,5870.37,224990004.1,37220.5
1510358400,11/11/2017 0:00,BTC/USD,6588.18,6820,6218,6355.13,96465935.17,14890.46
1510272000,11/10/2017 0:00,BTC/USD,7148,7343.18,6429.44,6588.18,180472185.4,26492.72
1510185600,11/9/2017 0:00,BTC/USD,7450.32,7490,7061.2,7148,106479695.2,14729.52
1510099200,11/8/2017 0:00,BTC/USD,7130.28,7888,7080.01,7450.32,182900719.5,24598
1510012800,11/7/2017 0:00,BTC/USD,6967.68,7244.69,6945,7130.28,82573875.36,11625.97
1509926400,11/6/2017 0:00,BTC/USD,7372.72,7421.39,6922.07,6967.68,138309426.6,19290.82
1509840000,11/5/2017 0:00,BTC/USD,7388.83,7590,7275.16,7372.72,68578104.7,9211.21
1509753600,11/4/2017 0:00,BTC/USD,7146.82,7569.9,6994,7388.83,66574400.23,9178.26
1509667200,11/3/2017 0:00,BTC/USD,7030,7500,6925.22,7146.82,115885350.4,15978.77
1509580800,11/2/2017 0:00,BTC/USD,6741.59,7354.1,6700,7030,184478482.7,26442.64
1509494400,11/1/2017 0:00,BTC/USD,6434.21,6756.36,6340.01,6741.59,84730388.78,12942.67
1509408000,10/31/2017 0:00,BTC/USD,6119.99,6449.78,6072.81,6434.21,84132031.05,13388.29
1509321600,10/30/2017 0:00,BTC/USD,6137.37,6229.77,6024.03,6119.99,58628072.74,9573.17
1509235200,10/29/2017 0:00,BTC/USD,5730.69,6316.85,5683,6137.37,96245243.8,16067.43
1509148800,10/28/2017 0:00,BTC/USD,5771.89,5875.66,5646.18,5730.69,33910959.44,5911.95
1509062400,10/27/2017 0:00,BTC/USD,5890,5994.06,5674.06,5771.89,68864252.31,11878.19
1508976000,10/26/2017 0:00,BTC/USD,5735.88,5988,5683,5890,68819732.17,11743.86
1508889600,10/25/2017 0:00,BTC/USD,5523.4,5748,5366,5735.88,68165895.28,12312.35
1508803200,10/24/2017 0:00,BTC/USD,5871.17,5871.17,5453.01,5523.4,97431687.22,17264.05
1508716800,10/23/2017 0:00,BTC/USD,5969,6045.34,5617.75,5871.17,89096118.44,15257.2
1508630400,10/22/2017 0:00,BTC/USD,6013.46,6071.07,5700,5969,71783836.81,12213.02
1508544000,10/21/2017 0:00,BTC/USD,5977.29,6180,5871,6013.46,92596831.55,15305.54
1508457600,10/20/2017 0:00,BTC/USD,5698.69,6074,5589.8,5977.29,88681234.35,15052.02
1508371200,10/19/2017 0:00,BTC/USD,5582.05,5735.14,5512.06,5698.69,55881257.79,9883.68
1508284800,10/18/2017 0:00,BTC/USD,5597.31,5617.75,5101.36,5582.05,101403786,18914.61
1508198400,10/17/2017 0:00,BTC/USD,5745.72,5776.31,5506.78,5597.31,50937177.61,9087.77
1508112000,10/16/2017 0:00,BTC/USD,5679.7,5807.11,5548,5745.72,51432597.47,9053.39
1508025600,10/15/2017 0:00,BTC/USD,5801.29,5830,5415,5679.7,64387164.5,11529.17
1507939200,10/14/2017 0:00,BTC/USD,5653.6,5817.34,5558.26,5801.29,47682043.42,8393.91
1507852800,10/13/2017 0:00,BTC/USD,5445,5846.43,5380,5653.6,155680854,27797.47
