unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1637625600,11/23/2021 0:00,XRP/USD,1.03643,1.07374,1.02025,1.06718,29150677.42,31109019.93
1637539200,11/22/2021 0:00,XRP/USD,1.05996,1.07304,1.02675,1.03713,31932973.32,33118644.62
1637452800,11/21/2021 0:00,XRP/USD,1.09739,1.09844,1.05674,1.06179,11624524.91,12342804.3
1637366400,11/20/2021 0:00,XRP/USD,1.09288,1.10252,1.062,1.09689,13825364.7,15164904.29
1637280000,11/19/2021 0:00,XRP/USD,1.04149,1.10521,1.01847,1.09019,51655441.12,56314245.35
1637193600,11/18/2021 0:00,XRP/USD,1.09594,1.16131,1.01569,1.04053,43667427.03,45437267.85
1637107200,11/17/2021 0:00,XRP/USD,1.08957,1.11305,1.05901,1.09606,27302018.74,29924650.66
1637020800,11/16/2021 0:00,XRP/USD,1.17227,1.17227,1.04092,1.08897,67375265.95,73369643.36
1636934400,11/15/2021 0:00,XRP/USD,1.18883,1.22098,1.16524,1.17169,18706082.73,21917730.08
1636848000,11/14/2021 0:00,XRP/USD,1.1892,1.19919,1.1685,1.18843,23389535.93,27796826.18
1636761600,11/13/2021 0:00,XRP/USD,1.18882,1.20394,1.16789,1.18945,26696644.49,31754323.79
1636675200,11/12/2021 0:00,XRP/USD,1.21451,1.23318,1.15331,1.18933,42160090.6,50142260.56
1636588800,11/11/2021 0:00,XRP/USD,1.18797,1.2541,1.17731,1.21529,24814855.73,30157246.02
1636502400,11/10/2021 0:00,XRP/USD,1.25693,1.3494,1.12,1.19358,70001631.63,83552547.48
1636416000,11/9/2021 0:00,XRP/USD,1.28101,1.28833,1.22477,1.25724,53735124.38,67557947.78
1636329600,11/8/2021 0:00,XRP/USD,1.22137,1.29715,1.21975,1.28205,42570594.65,54577630.87
1636243200,11/7/2021 0:00,XRP/USD,1.15159,1.23862,1.14609,1.2195,28621177,34903525.35
1636156800,11/6/2021 0:00,XRP/USD,1.1581,1.17811,1.1,1.15206,15927607.36,18349559.33
1636070400,11/5/2021 0:00,XRP/USD,1.2013,1.2013,1.133,1.1592,28992376.3,33607962.6
1635984000,11/4/2021 0:00,XRP/USD,1.21139,1.25818,1.16356,1.20174,41174457.26,49480992.27
1635897600,11/3/2021 0:00,XRP/USD,1.13623,1.23623,1.127,1.21022,42308072.83,51202075.9
1635811200,11/2/2021 0:00,XRP/USD,1.09354,1.14776,1.08674,1.13496,33709420.9,38258844.35
1635724800,11/1/2021 0:00,XRP/USD,1.1148,1.133,1.07047,1.0922,31289284.5,34174156.53
1635638400,10/31/2021 0:00,XRP/USD,1.08486,1.15519,1.06933,1.11333,30033939.23,33437685.57
1635552000,10/30/2021 0:00,XRP/USD,1.08265,1.11696,1.062,1.08538,20286229.07,22018267.31
1635465600,10/29/2021 0:00,XRP/USD,1.06088,1.09107,1.05329,1.08159,30453720.77,32938439.85
1635379200,10/28/2021 0:00,XRP/USD,0.99817,1.08178,0.98168,1.05751,42082448.51,44502610.13
1635292800,10/27/2021 0:00,XRP/USD,1.1069,1.1249,0.96,0.99535,57906478.25,57637213.12
1635206400,10/26/2021 0:00,XRP/USD,1.09456,1.16,1.0902,1.10719,26831609.38,29707689.58
1635120000,10/25/2021 0:00,XRP/USD,1.08218,1.103,1.07837,1.09474,16133743.28,17662254.12
1635033600,10/24/2021 0:00,XRP/USD,1.09452,1.09601,1.0529,1.08192,14223630.43,15388830.23
1634947200,10/23/2021 0:00,XRP/USD,1.08898,1.10155,1.07558,1.09389,13166221.8,14402398.36
1634860800,10/22/2021 0:00,XRP/USD,1.08881,1.12733,1.071,1.08837,21393971.74,23284557.02
1634774400,10/21/2021 0:00,XRP/USD,1.14673,1.16792,1.085,1.08847,42879123.28,46672639.32
1634688000,10/20/2021 0:00,XRP/USD,1.09159,1.15305,1.08716,1.14587,24725722.91,28332464.11
1634601600,10/19/2021 0:00,XRP/USD,1.08333,1.10065,1.064,1.09114,16423311.44,17920132.05
1634515200,10/18/2021 0:00,XRP/USD,1.09513,1.10622,1.064,1.08361,27943231.11,30279564.66
1634428800,10/17/2021 0:00,XRP/USD,1.13477,1.14023,1.022,1.09328,19836782.37,21687157.43
1634342400,10/16/2021 0:00,XRP/USD,1.14115,1.186,1.12948,1.13357,18074944.25,20489214.56
1634256000,10/15/2021 0:00,XRP/USD,1.13353,1.16665,1.09197,1.14075,37048001.16,42262507.32
1634169600,10/14/2021 0:00,XRP/USD,1.1277,1.15779,1.11739,1.13417,17776021.25,20161030.02
1634083200,10/13/2021 0:00,XRP/USD,1.10155,1.13852,1.0748,1.12887,22631761.99,25548317.16
1633996800,10/12/2021 0:00,XRP/USD,1.13586,1.13586,1.065,1.10168,26359531.6,29039768.77
1633910400,10/11/2021 0:00,XRP/USD,1.13588,1.18202,1.1026,1.13586,25038440.77,28440163.34
1633824000,10/10/2021 0:00,XRP/USD,1.16107,1.23,1.12699,1.13588,32043619.63,36397706.67
