unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1638662400,2021-12-05 00:00:00,ETH/USD,4127.42,4258.00,4036.12,4198.73,20058.71141776,84221113.39109144
1638576000,2021-12-04 00:00:00,ETH/USD,4219.57,4242.14,3470.02,4124.51,55450.38539722,228705669.07468787
1638489600,2021-12-03 00:00:00,ETH/USD,4515.97,4660.81,4039.00,4222.80,29029.99814945,122587876.18549746
1638403200,2021-12-02 00:00:00,ETH/USD,4587.72,4638.70,4435.00,4516.03,19141.48701120,86443529.58718953
1638316800,2021-12-01 00:00:00,ETH/USD,4625.07,4784.00,4525.31,4587.58,35230.73864600,161623831.99761668
1638230400,2021-11-30 00:00:00,ETH/USD,4449.57,4757.80,4350.00,4630.88,53996.46762082,250051161.97590294
1638144000,2021-11-29 00:00:00,ETH/USD,4302.00,4463.43,4280.57,4448.71,15407.04789731,68541488.05124196
1638057600,2021-11-28 00:00:00,ETH/USD,4099.30,4302.03,3965.01,4300.86,13333.77599878,57346703.84211294
1637971200,2021-11-27 00:00:00,ETH/USD,4044.64,4186.07,4031.94,4100.30,9399.45915643,38540602.379109934
1637884800,2021-11-26 00:00:00,ETH/USD,4528.17,4555.25,3917.00,4045.90,36211.34190670,146507468.22031754
1637798400,2021-11-25 00:00:00,ETH/USD,4271.53,4556.42,4251.88,4525.78,10134.06504526,45864548.9005368
1637712000,2021-11-24 00:00:00,ETH/USD,4345.49,4374.89,4166.12,4270.67,13289.92855615,56756899.18689312
1637625600,2021-11-23 00:00:00,ETH/USD,4089.12,4390.82,4063.68,4342.53,29680.93324532,128890343.04579945
1637539200,2021-11-22 00:00:00,ETH/USD,4264.08,4322.44,4024.03,4094.09,29628.43394969,121301475.14908633
1637452800,2021-11-21 00:00:00,ETH/USD,4415.06,4441.00,4247.08,4265.94,5343.96313025,22797026.075858682
1637366400,2021-11-20 00:00:00,ETH/USD,4302.95,4439.92,4205.87,4415.51,8929.16457495,39426815.47233748
1637280000,2021-11-19 00:00:00,ETH/USD,3999.44,4314.14,3975.55,4300.36,44830.54185962,192787468.99143547
1637193600,2021-11-18 00:00:00,ETH/USD,4290.66,4347.18,3958.67,3999.76,44371.48336978,177475284.32311127
